Year,Quarter,Facility Name,NOx Rate (lbs/mmBtu)
2020,3,Greene County,0.1426
2020,4,Greene County,0.141
2020,1,Agua Fria Generating Station,0.1855
2020,4,Agua Fria Generating Station,0.163
2021,2,Agua Fria Generating Station,0.1743
2021,3,Agua Fria Generating Station,0.1776
2021,4,Agua Fria Generating Station,0.1995
2020,3,Agua Fria Generating Station,0.2185
2020,4,Agua Fria Generating Station,0.1688
2021,3,Agua Fria Generating Station,0.1711
2021,4,Agua Fria Generating Station,0.1749
2020,1,Agua Fria Generating Station,0.2257
2021,1,Agua Fria Generating Station,0.1635
2021,2,Agua Fria Generating Station,0.2248
2021,3,Agua Fria Generating Station,0.2291
2020,1,Lake Catherine,0.2264
2020,2,Lake Catherine,0.2254
2020,3,Lake Catherine,0.2102
2020,4,Lake Catherine,0.1824
2021,1,Lake Catherine,0.165
2021,2,Lake Catherine,0.2067
2021,3,Lake Catherine,0.1947
2021,4,Lake Catherine,0.165
2021,1,Long Beach Generating Station,0.1805
2021,1,Long Beach Generating Station,0.2135
2020,1,El Centro,0.1553
2020,1,Curtis H. Stanton Energy Center,0.0038
2020,3,Curtis H. Stanton Energy Center,0.004
2021,3,Curtis H. Stanton Energy Center,0.0043
2021,4,Gulf Clean Energy Center,0.1456
2020,1,Deerhaven,0.1539
2020,2,Deerhaven,0.1512
2020,3,Deerhaven,0.138
2020,1,Northside,0.1627
2020,3,Northside,0.1602
2021,4,Northside,0.1456
2020,3,Tom G Smith,0.2122
2020,1,Ponca,0.197
2020,4,Venice,0.1442
2020,4,Venice,0.152
2020,2,IPL - Harding Street Station (EW Stout),0.1431
2020,3,IPL - Harding Street Station (EW Stout),0.1429
2020,4,IPL - Harding Street Station (EW Stout),0.1499
2021,2,IPL - Harding Street Station (EW Stout),0.1445
2021,3,IPL - Harding Street Station (EW Stout),0.1446
2021,4,IPL - Harding Street Station (EW Stout),0.1632
2020,2,IPL - Harding Street Station (EW Stout),0.1473
2020,4,IPL - Harding Street Station (EW Stout),0.1468
2021,1,IPL - Harding Street Station (EW Stout),0.1494
2021,2,IPL - Harding Street Station (EW Stout),0.1475
2021,3,IPL - Harding Street Station (EW Stout),0.1476
2021,4,IPL - Harding Street Station (EW Stout),0.1578
2021,3,IPL - Eagle Valley Generating Station,0.1652
2021,3,IPL - Eagle Valley Generating Station,0.177
2021,3,Cimarron River,0.2186
2021,1,Great Bend Station aka Arthur Mullergren,0.0006
2020,3,Garden City,0.1979
2021,1,Garden City,0.2081
2021,3,E W Brown,0.14
2020,1,Louisiana 1,0.1575
2020,4,Louisiana 1,0.1458
2021,1,Louisiana 1,0.1435
2021,3,Louisiana 1,0.1388
2020,3,Teche Power Station,0.2152
2020,4,Teche Power Station,0.1731
2021,2,Teche Power Station,0.196
2021,3,Teche Power Station,0.2139
2021,4,Teche Power Station,0.2168
2020,2,Little Gypsy,0.1472
2020,4,Little Gypsy,0.1917
2021,1,Little Gypsy,0.2074
2021,3,Little Gypsy,0.1898
2020,4,Ninemile Point,0.1979
2021,1,Ninemile Point,0.1966
2021,2,Ninemile Point,0.1847
2021,3,Ninemile Point,0.1774
2020,3,Ninemile Point,0.2205
2021,1,Ninemile Point,0.2138
2021,3,Ninemile Point,0.1715
2021,4,Ninemile Point,0.1679
2021,2,Lieberman Power Plant,0.159
2021,3,Lieberman Power Plant,0.1518
2021,4,Lieberman Power Plant,0.1669
2020,3,Houma,0.2228
2021,3,Houma,0.2301
2020,1,Houma,0.1477
2020,1,Big Cajun 1,0.1443
2020,2,West Springfield,0.1462
2021,3,West Springfield,0.1923
2020,3,West Springfield,0.1764
2021,3,West Springfield,0.1655
2020,1,Cleary Flood,0.1482
2020,2,Cleary Flood,0.1396
2020,3,Cleary Flood,0.1392
2021,4,Watson Electric Generating Plant,0.1542
2021,1,Baxter Wilson,0.2053
2021,2,Baxter Wilson,0.2324
2021,3,Baxter Wilson,0.2082
2021,4,Baxter Wilson,0.2002
2020,1,Moselle Generation Complex,0.1887
2020,2,Moselle Generation Complex,0.227
2020,3,Moselle Generation Complex,0.1969
2021,2,Moselle Generation Complex,0.2246
2021,3,Moselle Generation Complex,0.2205
2021,4,Moselle Generation Complex,0.1808
2021,2,Lake Road,0.173
2021,3,Lake Road,0.1811
2020,2,James River,0.1419
2020,3,James River,0.1442
2020,4,James River,0.1437
2021,2,James River,0.1449
2021,3,James River,0.1481
2021,4,James River,0.1413
2020,2,James River,0.1409
2020,3,James River,0.1431
2020,4,James River,0.1435
2021,2,James River,0.1465
2021,3,James River,0.146
2020,1,Tracy,0.1562
2020,2,Tracy,0.1521
2020,3,Tracy,0.1496
